,liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,time_asp_1000,acq_value
0,Viscous_std_1275,rLine1000,1000,50.34,50.34,False,10,10,0,0.8736,98.19588708877563,0.6004185324858732,-31.270772380280086,59.729837107667855,
1,Viscous_std_1275,rLine1000,500,50.34,50.34,False,10,10,0,0.8736,78.22955965995789,0.36293803832349975,-16.909789761103543,59.729837107667855,
2,Viscous_std_1275,rLine1000,300,50.34,50.34,False,10,10,0,0.8736,71.49570560455322,0.20159176811488755,-23.080064058727288,59.729837107667855,
3,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",50.34,50.34,False,10,10,0,0.8736,98.19588708877563,0.6004185324858732,-23.75354206670364,59.729837107667855,
4,Viscous_std_1275,rLine1000,1000,62.925000000000004,62.925000000000004,False,10,10,0,0.8736,90.43593168258667,0.5435327888848236,-37.78241885475921,51.78386968613428,
5,Viscous_std_1275,rLine1000,500,62.925000000000004,62.925000000000004,False,10,10,0,0.8736,74.26906061172485,0.3631420343302659,-16.863087378602142,51.78386968613428,
6,Viscous_std_1275,rLine1000,300,62.925000000000004,62.925000000000004,False,10,10,0,0.8736,67.96871876716614,0.1950784670417141,-25.565297984693952,51.78386968613428,
7,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",62.925000000000004,62.925000000000004,False,10,10,0,0.8736,90.43593168258667,0.5435327888848236,-26.736934739351767,51.78386968613428,
8,Viscous_std_1275,rLine1000,1000,62.925000000000004,5.034000000000001,False,10,10,0,0.8736,273.4679672718048,0.7687589514978931,-12.001035771761327,234.5411203814064,
9,Viscous_std_1275,rLine1000,500,62.925000000000004,5.034000000000001,False,10,10,0,0.8736,166.00339365005493,0.35629359696026247,-18.43095307686299,234.5411203814064,
10,Viscous_std_1275,rLine1000,300,62.925000000000004,5.034000000000001,False,10,10,0,0.8736,123.0771222114563,0.21333610964727637,-18.598859261570382,234.5411203814064,
11,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",62.925000000000004,5.034000000000001,False,10,10,0,0.8736,273.4679672718048,0.7687589514978931,-16.343616036731564,234.5411203814064,
12,Viscous_std_1275,rLine1000,1000,5.034000000000001,62.925000000000004,False,10,10,0,0.8736,273.67984104156494,0.6241986384174595,-28.548690657342096,234.5411203814064,
13,Viscous_std_1275,rLine1000,500,5.034000000000001,62.925000000000004,False,10,10,0,0.8736,166.20827746391296,0.3951548362491967,-9.534149210348751,234.5411203814064,
14,Viscous_std_1275,rLine1000,300,5.034000000000001,62.925000000000004,False,10,10,0,0.8736,123.02758979797363,0.22442474972934573,-14.367845799242332,234.5411203814064,
15,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",5.034000000000001,62.925000000000004,False,10,10,0,0.8736,273.67984104156494,0.6241986384174595,-17.48356188897773,234.5411203814064,
16,Viscous_std_1275,rLine1000,1000,5.034000000000001,5.034000000000001,False,10,10,0,0.8736,456.67658162117004,0.8472391295294641,-3.017498909173068,417.2983710766785,
17,Viscous_std_1275,rLine1000,500,5.034000000000001,5.034000000000001,False,10,10,0,0.8736,257.8796491622925,0.42949902110259675,-1.6714695277937903,417.2983710766785,
18,Viscous_std_1275,rLine1000,300,5.034000000000001,5.034000000000001,False,10,10,0,0.8736,178.36175751686096,0.25084223260555033,-4.287914909359624,417.2983710766785,
19,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",5.034000000000001,5.034000000000001,False,10,10,0,0.8736,456.67658162117004,0.8472391295294641,-2.992294448775494,417.2983710766785,
20,Viscous_std_1275,rLine1000,1000,26.70745163371135,10.474016989571975,False,10,10,0,0.8736,192.40007257461548,0.7627119270116135,-12.693231798121168,152.91708716531014,101.07173201816175
21,Viscous_std_1275,rLine1000,500,26.70745163371135,10.474016989571975,False,10,10,0,0.8736,126.87097525596619,0.3810499694956577,-12.763285371873238,152.91708716531014,101.07173201816175
22,Viscous_std_1275,rLine1000,300,26.70745163371135,10.474016989571975,False,10,10,0,0.8736,99.32161378860474,0.2030634535922713,-22.5185235072225,152.91708716531014,101.07173201816175
23,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",26.70745163371135,10.474016989571975,False,10,10,0,0.8736,192.40007257461548,0.7627119270116135,-15.99168022573897,152.91708716531014,101.07173201816175
24,Viscous_std_1275,rLine1000,1000,8.811052288793029,25.010092920309866,False,10,10,0,0.8736,214.43829584121704,0.7400829414039215,-15.28354608471595,173.4776798333585,59.60784747756642
25,Viscous_std_1275,rLine1000,500,8.811052288793029,25.010092920309866,False,10,10,0,0.8736,136.35575008392334,0.3956648262661117,-9.417393254095307,173.4776798333585,59.60784747756642
26,Viscous_std_1275,rLine1000,300,8.811052288793029,25.010092920309866,False,10,10,0,0.8736,105.51989340782166,0.22524073375640996,-14.05649658256642,173.4776798333585,59.60784747756642
27,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",8.811052288793029,25.010092920309866,False,10,10,0,0.8736,214.43829584121704,0.7400829414039215,-12.919145307125893,173.4776798333585,59.60784747756642
28,Viscous_std_1275,rLine1000,1000,8.500265963955783,5.146970880702138,False,10,10,0,0.8736,372.1933443546295,0.8516541859616154,-2.5121124128187606,331.93241169164156,14.297469558447023
29,Viscous_std_1275,rLine1000,500,8.500265963955783,5.146970880702138,False,10,10,0,0.8736,215.79052782058716,0.4131210559879503,-5.421003665762301,331.93241169164156,14.297469558447023
30,Viscous_std_1275,rLine1000,300,8.500265963955783,5.146970880702138,False,10,10,0,0.8736,153.33706283569336,0.24147298743765214,-7.862871093691963,331.93241169164156,14.297469558447023
31,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",8.500265963955783,5.146970880702138,False,10,10,0,0.8736,372.1933443546295,0.8516541859616154,-5.265329057424341,331.93241169164156,14.297469558447023
32,Viscous_std_1275,rLine1000,1000,62.73966500698776,27.512171721269382,False,10,10,0,0.8736,112.27652215957642,0.6071649718524935,-30.49851512677501,72.28642877706017,11.170571704591037
33,Viscous_std_1275,rLine1000,500,62.73966500698776,27.512171721269382,False,10,10,0,0.8736,85.94399905204773,0.3532919414321332,-19.11814527652628,72.28642877706017,11.170571704591037
34,Viscous_std_1275,rLine1000,300,62.73966500698776,27.512171721269382,False,10,10,0,0.8736,75.48767232894897,0.19332992984086228,-26.232474877570873,72.28642877706017,11.170571704591037
35,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",62.73966500698776,27.512171721269382,False,10,10,0,0.8736,112.27652215957642,0.6071649718524935,-25.283045093624054,72.28642877706017,11.170571704591037
36,Viscous_std_1275,rLine1000,1000,26.60247998877056,62.515434945199644,False,10,10,0,0.8736,113.68470454216003,0.6146836818161568,-29.637856934963736,73.5865299315251,7.532404307737149
37,Viscous_std_1275,rLine1000,500,26.60247998877056,62.515434945199644,False,10,10,0,0.8736,86.72648930549622,0.3766640553501875,-13.767386595653052,73.5865299315251,7.532404307737149
38,Viscous_std_1275,rLine1000,300,26.60247998877056,62.515434945199644,False,10,10,0,0.8736,75.96802830696106,0.20363172818254813,-22.30169101703751,73.5865299315251,7.532404307737149
39,Viscous_std_1275,rLine1000,"mean[300, 500, 1000]",26.60247998877056,62.515434945199644,False,10,10,0,0.8736,113.68470454216003,0.6146836818161568,-21.902311515884765,73.5865299315251,7.532404307737149
